,fedAvgFlag,clientID,client_lr,client_mom,batch_size,server_lr,server_mom,loss,accuracy
0,1,-1,0.01,0.01,8,0.5,0.3,-1.0,0.71900004
1,1,-1,0.01,0.01,8,0.3,0.3,-1.0,0.71430004
2,1,-1,0.01,0.01,8,0.5,0.9,-1.0,0.71000004
3,1,-1,0.01,0.01,8,0.3,0.6,-1.0,0.708
4,1,-1,0.01,0.01,16,0.5,0.9,-1.0,0.698
5,1,-1,0.01,0.01,8,0.5,0.0,-1.0,0.6969
6,1,-1,0.01,0.01,8,0.5,0.6,-1.0,0.69490004
7,1,-1,0.01,0.01,8,0.3,0.9,-1.0,0.6819
8,1,-1,0.01,0.01,16,0.5,0.6,-1.0,0.68140006
9,1,-1,0.01,0.01,32,0.5,0.9,-1.0,0.67840004
10,1,-1,0.01,0.01,16,0.5,0.3,-1.0,0.6764
11,1,-1,0.01,0.01,32,0.5,0.6,-1.0,0.67200005
12,1,-1,0.01,0.01,16,0.3,0.9,-1.0,0.6707
13,1,-1,0.01,0.01,8,0.1,0.9,-1.0,0.6643
14,1,-1,0.01,0.01,16,0.3,0.3,-1.0,0.63360006
15,1,-1,0.01,0.01,32,0.3,0.6,-1.0,0.63320005
16,1,-1,0.01,0.01,8,0.3,0.0,-1.0,0.633
17,1,-1,0.01,0.01,16,0.3,0.6,-1.0,0.62930006
18,1,-1,0.01,0.01,16,0.5,0.0,-1.0,0.62930006
19,1,-1,0.01,0.01,16,0.3,0.0,-1.0,0.61550003
20,1,-1,0.01,0.01,8,0.1,0.6,-1.0,0.6147
21,1,-1,0.01,0.01,8,0.05,0.9,-1.0,0.5957
22,1,-1,0.01,0.01,32,0.3,0.3,-1.0,0.5916
23,1,-1,0.01,0.01,16,0.05,0.6,-1.0,0.58650005
24,1,-1,0.01,0.01,32,0.5,0.3,-1.0,0.5702
25,1,-1,0.01,0.01,8,0.03,0.9,-1.0,0.56880003
26,1,-1,0.01,0.01,32,0.3,0.9,-1.0,0.55550003
27,1,-1,0.01,0.01,32,0.5,0.0,-1.0,0.53940004
28,1,-1,0.01,0.01,8,0.1,0.3,-1.0,0.5364
29,1,-1,0.01,0.01,16,0.1,0.6,-1.0,0.5341
30,1,-1,0.01,0.01,8,0.05,0.6,-1.0,0.50670004
31,1,-1,0.01,0.01,16,0.1,0.9,-1.0,0.4963
32,1,-1,0.01,0.01,32,0.3,0.0,-1.0,0.48310003
33,1,-1,0.01,0.01,8,0.1,0.0,-1.0,0.48160002
34,1,-1,0.01,0.01,16,0.1,0.3,-1.0,0.48110002
35,1,-1,0.01,0.01,32,0.1,0.9,-1.0,0.4715
36,1,-1,0.01,0.01,16,0.05,0.9,-1.0,0.4679
37,1,-1,0.01,0.01,8,0.03,0.6,-1.0,0.46170002
38,1,-1,0.01,0.01,8,0.05,0.3,-1.0,0.45780003
39,1,-1,0.01,0.01,16,0.03,0.6,-1.0,0.43580002
40,1,-1,0.01,0.01,8,0.05,0.0,-1.0,0.4354
41,1,-1,0.01,0.01,8,0.03,0.3,-1.0,0.43100002
42,1,-1,0.01,0.01,16,0.1,0.0,-1.0,0.4291
43,1,-1,0.01,0.01,16,0.05,0.3,-1.0,0.41740003
44,1,-1,0.01,0.01,16,0.05,0.0,-1.0,0.4151
45,1,-1,0.01,0.01,32,0.05,0.6,-1.0,0.41030002
46,1,-1,0.01,0.01,8,0.03,0.0,-1.0,0.40820003
47,1,-1,0.01,0.01,16,0.01,0.9,-1.0,0.4022
48,1,-1,0.01,0.01,16,0.03,0.9,-1.0,0.4004
49,1,-1,0.01,0.01,32,0.05,0.9,-1.0,0.39690003
50,1,-1,0.01,0.01,32,0.1,0.6,-1.0,0.39310002
51,1,-1,0.01,0.01,8,0.01,0.9,-1.0,0.393
52,1,-1,0.01,0.01,8,0.01,0.6,-1.0,0.39130002
53,1,-1,0.01,0.01,16,0.03,0.3,-1.0,0.37680003
54,1,-1,0.01,0.01,16,0.03,0.0,-1.0,0.3697
55,1,-1,0.01,0.01,32,0.05,0.3,-1.0,0.3668
56,1,-1,0.01,0.01,32,0.03,0.6,-1.0,0.3652
57,1,-1,0.01,0.01,32,0.1,0.3,-1.0,0.35900003
58,1,-1,0.01,0.01,32,0.03,0.3,-1.0,0.3506
59,1,-1,0.01,0.01,16,0.01,0.6,-1.0,0.34250003
60,1,-1,0.01,0.01,8,0.01,0.3,-1.0,0.3323
61,1,-1,0.01,0.01,32,0.1,0.0,-1.0,0.32970002
62,1,-1,0.01,0.01,32,0.03,0.9,-1.0,0.3276
63,1,-1,0.01,0.01,32,0.03,0.0,-1.0,0.32220003
64,1,-1,0.01,0.01,32,0.05,0.0,-1.0,0.3111
65,1,-1,0.01,0.01,8,0.01,0.0,-1.0,0.2957
66,1,-1,0.01,0.01,32,0.01,0.0,-1.0,0.26070002
67,1,-1,0.01,0.01,32,0.01,0.9,-1.0,0.25950003
68,1,-1,0.01,0.01,16,0.01,0.3,-1.0,0.24780001
69,1,-1,0.01,0.01,32,0.01,0.6,-1.0,0.24460001
70,1,-1,0.01,0.01,16,0.01,0.0,-1.0,0.2124
71,1,-1,0.01,0.01,32,0.01,0.3,-1.0,0.1956
72,0,1,0.05,0.9,16,0.0,0.0,0.024300342425704,0.8320130705833435
73,0,1,0.1,0.95,64,0.0,0.0,0.0316402316093444,0.7784484028816223
74,0,1,0.5,0.3,16,0.0,0.0,0.0307557284832,0.7812774777412415
75,0,1,0.07,0.9,32,0.0,0.0,0.030389254912734,0.7850496768951416
76,0,1,0.3,0.6,32,0.0,0.0,0.0316188372671604,0.7737331986427307
77,0,1,0.3,0.9,64,0.0,0.0,0.0304171927273273,0.7864956855773926
78,0,1,0.05,0.95,64,0.0,0.0,0.0336779467761516,0.7599019408226013
79,0,1,0.5,0.6,64,0.0,0.0,0.0294338967651128,0.7908965349197388
80,0,1,0.3,0.6,16,0.0,0.0,0.0320746935904026,0.773230254650116
81,0,1,0.07,0.95,32,0.0,0.0,0.0324577651917934,0.768829345703125
83,0,1,0.03,0.9,16,0.0,0.0,0.032235287129879,0.7728530168533325
84,0,1,0.5,0.9,64,0.0,0.0,0.0338253453373909,0.7568842172622681
85,0,1,0.07,0.95,64,0.0,0.0,0.0338938534259796,0.7593989968299866
87,0,1,0.07,0.95,16,0.0,0.0,0.034272588789463,0.7578901052474976
88,0,1,0.03,0.95,32,0.0,0.0,0.0358986668288707,0.7429271936416626
89,0,1,0.05,0.95,16,0.0,0.0,0.0348879247903823,0.7477681636810303
90,0,1,0.05,0.95,32,0.0,0.0,0.0325603634119033,0.7682635188102722
91,0,1,0.07,0.9,16,0.0,0.0,0.0340786762535572,0.7574500441551208
92,0,1,0.5,0.0,16,0.0,0.0,0.0364880003035068,0.7372689843177795
93,0,1,0.3,0.3,16,0.0,0.0,0.0364280231297016,0.7357600927352905
94,0,1,0.1,0.9,16,0.0,0.0,0.0352980755269527,0.7456305623054504
95,0,1,0.3,0.9,32,0.0,0.0,0.0362905263900756,0.7400352358818054
96,0,1,0.01,0.95,16,0.0,0.0,0.037925262004137,0.7289702296257019
97,0,1,0.3,0.95,64,0.0,0.0,0.0376964509487152,0.7294731736183167
98,0,1,0.5,0.6,32,0.0,0.0,0.0297269280999898,0.7908965349197388
99,0,1,0.5,0.3,32,0.0,0.0,0.0346818193793296,0.7530491352081299
100,0,1,0.1,0.9,64,0.0,0.0,0.0383140556514263,0.721174418926239
101,0,1,0.07,0.6,16,0.0,0.0,0.0396052561700344,0.7143844962120056
102,0,1,0.1,0.9,32,0.0,0.0,0.0390221774578094,0.7167106866836548
105,0,1,0.1,0.95,16,0.0,0.0,0.043262556195259,0.6883565783500671
106,0,1,0.5,0.3,64,0.0,0.0,0.0419485196471214,0.6935119032859802
107,0,1,0.5,0.6,16,0.0,0.0,0.0384357348084449,0.7207342982292175
109,0,1,0.03,0.95,64,0.0,0.0,0.0430027283728122,0.68546462059021
110,0,1,0.05,0.9,64,0.0,0.0,0.0437126457691192,0.6794291734695435
111,0,1,0.1,0.95,32,0.0,0.0,0.0403749234974384,0.7086005210876465
113,0,1,0.05,0.9,32,0.0,0.0,0.0424469001591205,0.6859675645828247
114,0,1,0.1,0.6,16,0.0,0.0,0.041538331657648,0.6982899308204651
115,0,1,0.07,0.9,64,0.0,0.0,0.045175552368164,0.6688042283058167
116,0,1,0.03,0.95,16,0.0,0.0,0.0428925156593322,0.6854017376899719
118,0,1,0.5,0.95,64,0.0,0.0,0.0499724522233009,0.6350433826446533
119,0,1,0.3,0.6,64,0.0,0.0,0.0448614619672298,0.6683641672134399
120,0,1,0.05,0.6,16,0.0,0.0,0.0439211316406726,0.6769772171974182
121,0,1,0.1,0.0,16,0.0,0.0,0.0494449213147163,0.6288192868232727
122,0,1,0.03,0.9,32,0.0,0.0,0.0476445332169532,0.6425877213478088
123,0,1,0.03,0.9,64,0.0,0.0,0.0508119389414787,0.6173771023750305
124,0,1,0.5,0.9,32,0.0,0.0,0.0517790205776691,0.6136677861213684
125,0,1,0.5,0.0,64,0.0,0.0,0.0489012487232685,0.6346033215522766
126,0,1,0.01,0.95,32,0.0,0.0,0.0499328523874282,0.6236011385917664
127,0,1,0.3,0.0,16,0.0,0.0,0.0456609353423118,0.6615742444992065
128,0,1,0.01,0.9,16,0.0,0.0,0.0515837967395782,0.61492520570755
129,0,1,0.07,0.3,16,0.0,0.0,0.0520227998495101,0.6071293950080872
130,0,1,0.05,0.3,16,0.0,0.0,0.0533536970615386,0.5982019305229187
131,0,1,0.03,0.6,16,0.0,0.0,0.0527705997228622,0.6049918532371521
132,0,1,0.3,0.3,64,0.0,0.0,0.0514027960598468,0.6166226863861084
134,0,1,0.1,0.6,64,0.0,0.0,0.0546912476420402,0.5870112180709839
135,0,1,0.01,0.9,32,0.0,0.0,0.0563019476830959,0.5709794759750366
136,0,1,0.3,0.9,16,0.0,0.0,0.0548620782792568,0.5872626900672913
137,0,1,0.05,0.0,16,0.0,0.0,0.0555721297860145,0.5802841782569885
139,0,1,0.3,0.95,32,0.0,0.0,0.0605236031115055,0.5379102230072021
140,0,1,0.1,0.6,32,0.0,0.0,0.0423024594783782,0.6901169419288635
141,0,1,0.3,0.0,64,0.0,0.0,0.0597023069858551,0.5389161109924316
142,0,1,0.05,0.6,32,0.0,0.0,0.059946771711111,0.5354583263397217
143,0,1,0.01,0.95,64,0.0,0.0,0.062542125582695,0.509933352470398
144,0,1,0.1,0.3,16,0.0,0.0,0.0594884343445301,0.5383502840995789
146,0,1,0.07,0.6,32,0.0,0.0,0.0611077956855297,0.5251477360725403
147,0,1,0.3,0.3,32,0.0,0.0,0.0513996817171573,0.6150509119033813
148,0,1,0.05,0.6,64,0.0,0.0,0.0655515193939209,0.4834024906158447
149,0,1,0.1,0.3,64,0.0,0.0,0.0667199343442916,0.469634085893631
150,0,1,0.01,0.9,64,0.0,0.0,0.0689235404133796,0.4459323585033417
151,0,1,0.07,0.6,64,0.0,0.0,0.0674478262662887,0.4612724781036377
152,0,1,0.1,0.0,64,0.0,0.0,0.0710492432117462,0.4244939088821411
153,0,1,0.07,0.3,64,0.0,0.0,0.0689492523670196,0.4470640122890472
154,0,1,0.03,0.6,32,0.0,0.0,0.0706779733300209,0.4297120571136474
155,0,1,0.03,0.6,64,0.0,0.0,0.073494479060173,0.3957625925540924
156,0,1,0.5,0.9,16,0.0,0.0,0.073051318526268,0.4042499661445617
157,0,1,0.03,0.3,16,0.0,0.0,0.0707748308777809,0.4278888404369354
158,0,1,0.3,0.0,32,0.0,0.0,0.0648694708943367,0.4839683175086975
159,0,1,0.01,0.3,16,0.0,0.0,0.0734442472457885,0.3966427743434906
160,0,1,0.01,0.6,16,0.0,0.0,0.07505813986063,0.3778448402881622
161,0,1,0.07,0.0,32,0.0,0.0,0.0724047124385833,0.4065761268138885
162,0,1,0.5,0.95,32,0.0,0.0,0.0753802508115768,0.3742612898349762
163,0,1,0.05,0.0,32,0.0,0.0,0.0746252536773681,0.3838174343109131
164,0,1,0.03,0.0,16,0.0,0.0,0.0727842822670936,0.4017351865768432
165,0,1,0.5,0.0,32,0.0,0.0,0.0679840818047523,0.456180065870285
166,0,1,0.03,0.3,64,0.0,0.0,0.0797921195626258,0.3161700069904327
169,0,1,0.03,0.3,32,0.0,0.0,0.0788386985659599,0.3318873345851898
170,0,1,0.3,0.95,16,0.0,0.0,0.0777452662587165,0.3460958003997803
171,0,1,0.01,0.6,32,0.0,0.0,0.0794217735528945,0.3152898252010345
172,0,1,0.05,0.3,64,0.0,0.0,0.0780504047870636,0.3428894877433777
173,0,1,0.07,0.0,64,0.0,0.0,0.0797715932130813,0.3185590207576751
174,0,1,0.05,0.0,64,0.0,0.0,0.0806553214788436,0.302401602268219
175,0,1,0.03,0.0,64,0.0,0.0,0.0814623534679412,0.2950458824634552
176,0,1,0.01,0.0,16,0.0,0.0,0.0813982635736465,0.2903935611248016
179,0,1,0.07,0.3,32,0.0,0.0,0.0727245956659317,0.4043128490447998
180,0,1,0.03,0.0,32,0.0,0.0,0.0769378691911697,0.3568464815616607
181,0,1,0.1,0.0,32,0.0,0.0,0.0714038908481597,0.4180183708667755
182,0,1,0.1,0.3,32,0.0,0.0,0.0707580894231796,0.4256255626678467
183,0,1,0.07,0.0,16,0.0,0.0,0.0787016749382019,0.3352822959423065
184,0,1,0.5,0.95,16,0.0,0.0,0.0845612213015556,0.2365145236253738
185,0,1,0.05,0.3,32,0.0,0.0,0.0809958130121231,0.3010813593864441
186,0,1,0.01,0.3,32,0.0,0.0,0.0884682238101959,0.1603797376155853
187,0,1,0.01,0.3,64,0.0,0.0,0.089207500219345,0.1438450962305069
188,0,1,0.01,0.0,32,0.0,0.0,0.0897241979837417,0.1268074959516525
189,0,1,0.01,0.0,64,0.0,0.0,0.0899754911661148,0.1139192730188369
190,0,1,0.01,0.6,64,0.0,0.0,0.0897923782467842,0.1205205619335174
192,0,2,0.5,0.6,16,0.0,0.0,0.051548670977354,0.6204875111579895
193,0,2,0.05,0.95,16,0.0,0.0,0.0496701374650001,0.633446455001831
194,0,2,0.03,0.9,16,0.0,0.0,0.0569269843399524,0.5686516761779785
196,0,2,0.5,0.9,64,0.0,0.0,0.0537206269800663,0.5921012163162231
197,0,2,0.1,0.9,32,0.0,0.0,0.059448380023241,0.5458191633224487
198,0,2,0.3,0.9,64,0.0,0.0,0.0526397041976451,0.6059858202934265
199,0,2,0.3,0.95,64,0.0,0.0,0.0561374574899673,0.5775995254516602
200,0,2,0.07,0.95,16,0.0,0.0,0.0547719858586788,0.5927183032035828
201,0,2,0.05,0.95,32,0.0,0.0,0.0539274625480175,0.5967293977737427
202,0,2,0.5,0.6,32,0.0,0.0,0.0532193481922149,0.5988892316818237
203,0,2,0.1,0.9,16,0.0,0.0,0.059713214635849,0.53995680809021
205,0,2,0.5,0.6,64,0.0,0.0,0.0633931905031204,0.5087935924530029
206,0,2,0.3,0.3,16,0.0,0.0,0.0615558288991451,0.5214440226554871
207,0,2,0.03,0.95,32,0.0,0.0,0.062927097082138,0.5134217739105225
208,0,2,0.07,0.9,16,0.0,0.0,0.0618175789713859,0.5124961137771606
209,0,2,0.1,0.6,16,0.0,0.0,0.0645371451973915,0.5029311776161194
210,0,2,0.1,0.95,64,0.0,0.0,0.0637268051505088,0.49799445271492
211,0,2,0.07,0.9,32,0.0,0.0,0.065291903913021,0.5004628300666809
212,0,2,0.1,0.95,16,0.0,0.0,0.061069831252098,0.5269978642463684
213,0,2,0.05,0.95,64,0.0,0.0,0.0666681751608848,0.4770132601261139
214,0,2,0.3,0.9,16,0.0,0.0,0.0593100264668464,0.5439679026603699
216,0,2,0.07,0.95,32,0.0,0.0,0.0654058009386062,0.4884294867515564
217,0,2,0.5,0.0,16,0.0,0.0,0.0634648203849792,0.5124961137771606
218,0,2,0.3,0.6,16,0.0,0.0,0.0607143826782703,0.5297747850418091
219,0,2,0.5,0.9,32,0.0,0.0,0.0658206567168235,0.4875038564205169
220,0,2,0.5,0.3,16,0.0,0.0,0.0665359273552894,0.4717679619789123
221,0,2,0.05,0.9,16,0.0,0.0,0.0652584731578826,0.4936747848987579
222,0,2,0.03,0.95,16,0.0,0.0,0.0665980204939842,0.4646714031696319
223,0,2,0.3,0.6,64,0.0,0.0,0.0697145983576774,0.4535637199878692
224,0,2,0.3,0.9,32,0.0,0.0,0.0649553760886192,0.4862696826457977
226,0,2,0.01,0.95,16,0.0,0.0,0.0698737576603889,0.4461585879325866
227,0,2,0.3,0.6,32,0.0,0.0,0.0715926364064216,0.4220919609069824
228,0,2,0.1,0.6,32,0.0,0.0,0.0733353197574615,0.4032706022262573
229,0,2,0.5,0.3,32,0.0,0.0,0.0703961625695228,0.4369021952152252
230,0,2,0.07,0.6,16,0.0,0.0,0.0738081708550453,0.4023449420928955
232,0,2,0.5,0.95,32,0.0,0.0,0.0761905163526535,0.3665535449981689
233,0,2,0.5,0.0,32,0.0,0.0,0.07422386854887,0.3900030851364136
234,0,2,0.05,0.6,16,0.0,0.0,0.0725703835487365,0.4137611985206604
235,0,2,0.1,0.3,16,0.0,0.0,0.0769150480628013,0.3730330169200897
236,0,2,0.05,0.9,64,0.0,0.0,0.0774025544524192,0.3603825867176056
237,0,2,0.3,0.3,32,0.0,0.0,0.0696916282176971,0.4449244141578674
238,0,2,0.01,0.95,32,0.0,0.0,0.0761744007468223,0.3708731830120086
239,0,2,0.05,0.9,32,0.0,0.0,0.0753654837608337,0.3779697716236114
241,0,2,0.1,0.3,32,0.0,0.0,0.0779254883527755,0.3505091071128845
242,0,2,0.01,0.9,16,0.0,0.0,0.0770594775676727,0.3690218925476074
243,0,2,0.07,0.9,64,0.0,0.0,0.0761650279164314,0.3770441114902496
244,0,2,0.1,0.9,64,0.0,0.0,0.0762609764933586,0.3696390092372894
245,0,2,0.1,0.0,32,0.0,0.0,0.0788504928350448,0.3332304954528808
246,0,2,0.1,0.95,32,0.0,0.0,0.0763627812266349,0.3690218925476074
