,fedAvgFlag,clientID,client_lr,client_mom,batch_size,server_lr,server_mom,loss,accuracy
0,1,-1,0.01,0.01,8,0.5,0.6,-1,0.86393666
1,1,-1,0.01,0.01,8,0.5,0.3,-1,0.8590581
2,1,-1,0.01,0.01,8,0.3,0.6,-1,0.85855865
3,1,-1,0.01,0.01,8,0.5,0.0,-1,0.85256606
4,1,-1,0.01,0.01,8,0.5,0.9,-1,0.85122156
5,1,-1,0.01,0.01,8,0.3,0.9,-1,0.8452289
6,1,-1,0.01,0.01,16,0.5,0.6,-1,0.8434619
7,1,-1,0.01,0.01,8,0.3,0.3,-1,0.8415412
8,1,-1,0.01,0.01,16,0.5,0.9,-1,0.8368162
9,1,-1,0.01,0.01,16,0.5,0.3,-1,0.8353565
10,1,-1,0.01,0.01,16,0.3,0.9,-1,0.8278273
11,1,-1,0.01,0.01,8,0.1,0.9,-1,0.8245236
12,1,-1,0.01,0.01,8,0.3,0.0,-1,0.8241779
13,1,-1,0.01,0.01,16,0.3,0.6,-1,0.8241779
14,1,-1,0.01,0.01,32,0.5,0.9,-1,0.8220651
15,1,-1,0.01,0.01,32,0.5,0.6,-1,0.8202981
16,1,-1,0.01,0.01,16,0.5,0.0,-1,0.8165335
17,1,-1,0.01,0.01,8,0.1,0.6,-1,0.79840195
18,1,-1,0.01,0.01,32,0.3,0.9,-1,0.79740316
19,1,-1,0.01,0.01,16,0.3,0.3,-1,0.7916026
20,1,-1,0.01,0.01,8,0.05,0.9,-1,0.7899124
21,1,-1,0.01,0.01,16,0.1,0.9,-1,0.7851106
22,1,-1,0.01,0.01,32,0.5,0.3,-1,0.7788875
23,1,-1,0.01,0.01,32,0.3,0.6,-1,0.77312535
24,1,-1,0.01,0.01,16,0.3,0.0,-1,0.7704748
25,1,-1,0.01,0.01,32,0.5,0.0,-1,0.74477565
26,1,-1,0.01,0.01,8,0.1,0.3,-1,0.7443531
27,1,-1,0.01,0.01,8,0.03,0.9,-1,0.7142363
28,1,-1,0.01,0.01,8,0.05,0.6,-1,0.7087815
29,1,-1,0.01,0.01,16,0.1,0.6,-1,0.69902426
30,1,-1,0.01,0.01,32,0.3,0.3,-1,0.6986017
31,1,-1,0.01,0.01,8,0.1,0.0,-1,0.69837123
32,1,-1,0.01,0.01,16,0.05,0.9,-1,0.6676398
33,1,-1,0.01,0.01,32,0.1,0.9,-1,0.62968653
34,1,-1,0.01,0.01,8,0.05,0.3,-1,0.6262677
35,1,-1,0.01,0.01,32,0.3,0.0,-1,0.6219653
36,1,-1,0.01,0.01,8,0.03,0.6,-1,0.5915412
37,1,-1,0.01,0.01,16,0.1,0.3,-1,0.58739245
38,1,-1,0.01,0.01,8,0.05,0.0,-1,0.5343039
39,1,-1,0.01,0.01,16,0.03,0.9,-1,0.5025737
40,1,-1,0.01,0.01,16,0.05,0.6,-1,0.4903196
41,1,-1,0.01,0.01,16,0.1,0.0,-1,0.4728411
42,1,-1,0.01,0.01,8,0.03,0.3,-1,0.44176397
43,1,-1,0.01,0.01,32,0.1,0.6,-1,0.41740933
44,1,-1,0.01,0.01,32,0.05,0.9,-1,0.34983864
45,1,-1,0.01,0.01,8,0.03,0.0,-1,0.34200215
46,1,-1,0.01,0.01,8,0.01,0.9,-1,0.34096497
47,1,-1,0.01,0.01,16,0.05,0.3,-1,0.24504456
48,1,-1,0.01,0.01,8,0.01,0.6,-1,0.24231714
49,1,-1,0.01,0.01,16,0.03,0.6,-1,0.20943454
50,1,-1,0.01,0.01,32,0.1,0.3,-1,0.20482482
51,1,-1,0.01,0.01,8,0.01,0.3,-1,0.20428702
52,1,-1,0.01,0.01,16,0.05,0.0,-1,0.19752611
53,1,-1,0.01,0.01,32,0.01,0.6,-1,0.19645052
54,1,-1,0.01,0.01,16,0.03,0.3,-1,0.1961048
55,1,-1,0.01,0.01,16,0.03,0.0,-1,0.19598955
56,1,-1,0.01,0.01,32,0.05,0.6,-1,0.19591272
57,1,-1,0.01,0.01,16,0.01,0.9,-1,0.1958743
58,1,-1,0.01,0.01,32,0.01,0.9,-1,0.1958743
59,1,-1,0.01,0.01,32,0.03,0.3,-1,0.1958743
60,1,-1,0.01,0.01,32,0.03,0.6,-1,0.1958743
61,1,-1,0.01,0.01,32,0.05,0.0,-1,0.1958743
62,1,-1,0.01,0.01,32,0.05,0.3,-1,0.1958743
63,1,-1,0.01,0.01,32,0.1,0.0,-1,0.1958743
64,1,-1,0.01,0.01,32,0.03,0.0,-1,0.19575906
65,1,-1,0.01,0.01,16,0.01,0.6,-1,0.19572064
66,1,-1,0.01,0.01,32,0.03,0.9,-1,0.19549017
67,1,-1,0.01,0.01,16,0.01,0.3,-1,0.17935617
68,1,-1,0.01,0.01,8,0.01,0.0,-1,0.1710587
69,1,-1,0.01,0.01,32,0.01,0.3,-1,0.15338813
70,1,-1,0.01,0.01,16,0.01,0.0,-1,0.13433467
71,1,-1,0.01,0.01,32,0.01,0.0,-1,0.10298863
72,0,1,0.05,0.95,16,0,0,0.009527607820928097,0.937873363494873
73,0,1,0.09,0.95,32,0,0,0.010778390802443027,0.9330943822860718
74,0,1,0.1,0.95,32,0,0,0.017962828278541565,0.8807247877120972
75,0,1,0.3,0.6,16,0,0,0.010543668642640114,0.9324970245361328
76,0,1,0.5,0.0,16,0,0,0.009872284717857838,0.9382715821266174
77,0,1,0.5,0.6,16,0,0,0.011811455711722374,0.9247311949729919
78,0,1,0.1,0.9,32,0,0,0.016414741054177284,0.8916766047477722
79,0,1,0.5,0.6,32,0,0,0.011375789530575275,0.926921546459198
80,0,1,0.1,0.9,16,0,0,0.01004320103675127,0.9382715821266174
81,0,1,0.3,0.0,16,0,0,0.017192574217915535,0.8861011266708374
82,0,1,0.07,0.95,32,0,0,0.011631211265921593,0.929111897945404
